"Applicant","Edu_Parent1","Edu_Parent2","Gender","White","Asian","HSGPA","SAT/ACT","College","College_GPA"
1446,6,5,"F",0,0,4.33,1230,"Math & Science",3.231
1450,7,7,"M",1,0,3.32,1260,"Arts & Letters",2.569
1456,6,4,"M",1,0,4.14,1520,"Math & Science",3.347
1460,6,7,"M",1,0,3.58,1280,"Arts & Letters",3.391
1461,4,4,"M",0,0,3.35,1140,"Business & Economics",1.815
1467,6,6,"M",1,0,4.26,1310,"Math & Science",3.325
1475,6,6,"F",1,0,3.33,1110,"Arts & Letters",3.087
1482,7,6,"M",1,0,3.79,1340,"Arts & Letters",3.604
1486,6,6,"F",1,0,4.2,1280,"Arts & Letters",3.542
1487,6,4,"M",1,0,4.05,1360,"Math & Science",3.449
1490,7,6,"M",1,0,3.61,1110,"Math & Science",2.373
1491,7,7,"F",1,0,4.42,1330,"Business & Economics",3.959
1493,7,3,"F",1,0,4.27,1300,"Arts & Letters",3.881
1494,6,6,"F",1,0,4.32,1060,"Math & Science",3.426
1495,4,4,"M",1,0,3.88,1260,"Business & Economics",2.947
1497,3,7,"M",1,0,3.76,1170,"Math & Science",3.378
1513,6,4,"M",1,0,3.73,1330,"Math & Science",2.967
1517,7,7,"F",1,0,3.9,1310,"Math & Science",2.869
1518,6,6,"M",0,0,3.5,1130,"Business & Economics",3.029
1521,7,7,"F",1,0,3.88,1390,"Arts & Letters",3.784
1522,7,7,"M",1,0,3.4,1350,"Arts & Letters",2.544
1527,6,6,"M",1,0,3.76,1110,"Math & Science",3.169
1531,6,6,"F",1,0,4.14,1460,"Math & Science",3.261
1537,4,7,"F",0,0,4.05,1310,"Business & Economics",3.204
1542,6,6,"F",0,1,3.76,1030,"Business & Economics",2.576
1546,7,6,"F",1,0,3.74,1130,"Business & Economics",2.789
1547,7,7,"F",1,0,4.14,1270,"Arts & Letters",3.687
1554,4,6,"F",1,0,3.73,1410,"Business & Economics",3.172
1564,6,7,"M",1,0,4.1,1440,"Math & Science",3.785
1573,7,5,"M",1,0,3.68,1240,"Math & Science",2.051
1574,6,4,"F",0,0,3.94,1310,"Math & Science",2.38
1590,5,5,"M",1,0,3.9,1390,"Math & Science",3.165
1606,3,6,"F",1,0,4,1550,"Business & Economics",3.272
1615,6,3,"F",0,0,4.08,1370,"Arts & Letters",3.332
1624,1,1,"M",0,1,3.77,1100,"Arts & Letters",2.928
1626,4,4,"M",1,0,3.9,1200,"Math & Science",3.519
1634,6,6,"F",1,0,3.54,1110,"Arts & Letters",2.744
1639,7,7,"F",1,0,3.95,1450,"Arts & Letters",3.458
1640,7,6,"M",1,0,3.92,1130,"Business & Economics",3.61
1643,6,4,"F",1,0,4.12,1370,"Math & Science",3.878
1645,6,5,"F",0,0,4.36,1200,"Math & Science",3.277
1646,4,3,"M",0,0,3.55,1160,"Arts & Letters",2.725
1648,4,6,"F",1,0,4.33,1260,"Arts & Letters",3.471
1663,6,6,"M",0,1,3.93,1300,"Business & Economics",3.248
1667,3,3,"F",1,0,3.91,1190,"Arts & Letters",3.108
1676,6,7,"F",1,0,3.77,1140,"Arts & Letters",3.517
1681,3,3,"F",0,1,3.66,1230,"Business & Economics",3.21
1688,4,5,"F",1,0,4.32,1280,"Arts & Letters",3.513
1690,6,4,"M",0,0,3.54,1320,"Arts & Letters",2.253
1698,2,2,"M",0,1,3.45,1220,"Arts & Letters",3.021
1700,7,7,"M",1,0,3.36,1510,"Math & Science",2.397
1701,6,6,"M",1,0,3.88,1190,"Arts & Letters",3.188
1702,4,4,"F",1,0,4.14,1180,"Math & Science",3.088
1703,6,6,"F",1,0,4.14,1280,"Math & Science",3.761
1707,6,6,"M",1,0,3.73,1230,"Business & Economics",3.199
1711,3,2,"F",1,0,3.85,1120,"Arts & Letters",3.571
1714,4,4,"F",1,0,3.29,1290,"Math & Science",2.773
1716,6,6,"F",1,0,3.86,970,"Business & Economics",2.953
1720,5,5,"M",1,0,4,1270,"Business & Economics",3.263
1721,7,7,"F",0,0,4.2,1380,"Arts & Letters",3.265
1725,4,4,"F",1,0,4,1250,"Arts & Letters",3.725
1726,6,4,"M",1,0,3.7,1310,"Business & Economics",2.674
1730,4,5,"F",0,0,3.52,1410,"Arts & Letters",3.465
1737,6,6,"F",1,0,3.96,1300,"Business & Economics",3.16
1738,6,4,"F",0,0,4.1,1170,"Math & Science",2.559
1743,7,7,"F",1,0,4.14,1170,"Math & Science",3.541
1747,6,4,"F",1,0,4.25,1430,"Math & Science",3.386
1748,5,4,"F",1,0,4.2,1260,"Arts & Letters",3.711
1754,3,2,"F",0,0,3.55,1210,"Math & Science",3.001
1756,4,4,"F",1,0,3.15,1080,"Math & Science",2.736
1771,7,6,"F",1,0,4.25,1230,"Arts & Letters",3.578
1774,6,6,"F",1,0,3.68,1330,"Arts & Letters",3.468
1783,4,5,"M",1,0,3.75,1270,"Math & Science",3.295
1790,3,3,"F",1,0,3.64,1530,"Math & Science",2.578
1793,6,5,"F",1,0,4,1340,"Arts & Letters",3.795
1797,7,6,"M",0,0,3.65,1310,"Arts & Letters",2.984
1800,4,4,"F",0,0,3.75,1190,"Math & Science",3.035
1802,5,4,"F",0,0,3.7,1150,"Arts & Letters",2.755
1806,7,7,"F",1,0,3.71,1290,"Math & Science",3.429
1810,6,4,"F",1,0,4,1280,"Math & Science",3.173
1812,6,6,"F",1,0,3.27,1370,"Business & Economics",3.187
1813,7,7,"F",1,0,4.08,1240,"Math & Science",3.658
1815,7,4,"F",1,0,4.3,1550,"Business & Economics",3.224
1818,7,3,"F",1,0,3.75,1140,"Math & Science",3.508
1826,6,6,"F",1,0,4.1,1300,"Arts & Letters",3.817
1841,6,7,"F",1,0,3.9,1200,"Business & Economics",3.456
1856,1,2,"M",0,0,3.38,1140,"Business & Economics",2.883
1868,6,6,"M",1,0,3.41,1070,"Business & Economics",2.965
1881,6,6,"F",1,0,3.91,1360,"Math & Science",2.845
1891,6,7,"M",1,0,3.55,1230,"Math & Science",2.655
1897,6,6,"M",1,0,2.94,1100,"Arts & Letters",2.786
1899,6,6,"M",1,0,3.08,1100,"Business & Economics",2.524
1914,4,3,"F",1,0,2.64,990,"Arts & Letters",2.749
1926,4,5,"M",0,0,4.14,1310,"Arts & Letters",3.799
1931,7,7,"M",1,0,3.92,1440,"Math & Science",3.895
1941,6,6,"M",0,0,4.22,1330,"Business & Economics",3.94
1946,4,5,"F",1,0,3.56,1360,"Business & Economics",3.344
1950,3,3,"F",1,0,4.09,1270,"Math & Science",3.483
1956,4,4,"F",1,0,3.9,1100,"Arts & Letters",2.857
1959,7,6,"M",1,0,3.86,1370,"Math & Science",3.434
1960,6,6,"F",1,0,4.29,1340,"Math & Science",3.936
1969,3,5,"F",0,0,2.88,970,"Math & Science",2.946
1972,1,1,"M",0,0,3.54,1040,"Math & Science",2.336
1978,6,6,"M",1,0,3.55,1430,"Math & Science",1.94
1989,7,7,"F",1,0,4.18,1160,"Arts & Letters",3.433
1992,4,6,"F",1,0,4,1210,"Math & Science",3.375
1993,6,7,"F",0,0,3.73,1230,"Arts & Letters",3.005
2016,6,6,"F",1,0,3.77,1130,"Arts & Letters",3.29
2021,6,6,"F",1,0,3.5,1260,"Arts & Letters",3.106
2024,7,7,"M",1,0,4.2,1500,"Business & Economics",3.636
2030,4,4,"M",1,0,3.32,1480,"Business & Economics",3.072
2044,7,7,"F",1,0,3.96,1190,"Math & Science",3.629
2061,6,5,"F",1,0,3.82,1320,"Math & Science",3.832
2063,5,4,"F",0,0,3.3,1100,"Arts & Letters",2.462
2067,6,4,"F",1,0,3.6,1190,"Arts & Letters",2.013
2084,6,6,"M",1,0,4.25,1380,"Math & Science",3.313
2088,6,7,"M",1,0,3.67,1270,"Business & Economics",2.079
2096,6,4,"F",1,0,3.79,1260,"Business & Economics",3.225
2097,6,6,"F",1,0,4.2,1120,"Math & Science",3
2106,7,7,"M",0,1,4.15,1340,"Math & Science",3.318
2113,6,6,"M",1,0,4,1320,"Business & Economics",3.769
2116,6,6,"M",1,0,3.85,1360,"Business & Economics",2.855
2121,7,6,"M",1,0,3.8,1260,"Business & Economics",3.081
2123,7,7,"F",1,0,4.04,1510,"Business & Economics",3.772
2127,6,7,"F",1,0,4.26,1170,"Business & Economics",3.535
2135,7,6,"F",0,0,3.78,1290,"Arts & Letters",3.689
2151,6,4,"F",0,0,4.25,1230,"Math & Science",2.195
2156,3,6,"F",1,0,4.12,1100,"Business & Economics",3.309
2170,7,7,"F",1,0,4.14,1190,"Math & Science",3.321
2215,5,6,"F",1,0,4.21,1400,"Arts & Letters",3.67
2232,7,7,"M",1,0,4,1210,"Arts & Letters",3.436
2236,7,6,"M",1,0,3.18,1150,"Business & Economics",2.789
2237,6,4,"M",1,0,3.95,1200,"Arts & Letters",3.32
2246,6,6,"F",0,0,3.65,1230,"Arts & Letters",3.452
2252,7,7,"F",1,0,4.08,1260,"Math & Science",3.836
2253,7,7,"F",1,0,3.85,1410,"Arts & Letters",3.204
2260,6,7,"M",1,0,3.8,1500,"Business & Economics",3.352
2268,2,2,"F",1,0,3.32,880,"Math & Science",2.983
2269,6,6,"M",1,0,4.14,1490,"Math & Science",3.683
2270,7,7,"M",1,0,3.75,1260,"Business & Economics",3.193
2277,3,4,"F",1,0,4.03,1130,"Math & Science",3.539
2290,1,1,"F",0,0,4.3,1340,"Business & Economics",3.283
2298,6,6,"F",1,0,3.48,1160,"Arts & Letters",2.776
2301,6,6,"F",1,0,3.96,1420,"Arts & Letters",3.905
2303,4,4,"F",1,0,3.54,1200,"Math & Science",2.624
2321,7,6,"M",1,0,4.1,1300,"Arts & Letters",3.644
2322,6,6,"F",1,0,3.55,1310,"Math & Science",3.11
2329,6,6,"M",1,0,3.1,1210,"Business & Economics",2.879
2352,6,4,"F",1,0,4.36,1270,"Math & Science",3.57
2367,6,6,"M",1,0,3.81,1330,"Business & Economics",3.326
2371,6,4,"M",1,0,3.79,1350,"Math & Science",3.354
2394,6,5,"F",1,0,3.93,1120,"Arts & Letters",3.327
2413,4,6,"F",1,0,3.85,1210,"Business & Economics",3.541
2423,7,7,"M",1,0,3.96,1300,"Business & Economics",3.167
2445,7,7,"F",1,0,3.9,1190,"Math & Science",3.82
2463,6,6,"F",1,0,4.05,1300,"Arts & Letters",3.323
2483,6,6,"F",1,0,3.95,1430,"Math & Science",3.555
2531,6,6,"M",1,0,3.68,1170,"Business & Economics",3.103
2535,3,6,"M",0,1,3.91,1330,"Math & Science",2.767
2574,7,7,"F",1,0,3.77,1220,"Arts & Letters",3.078
2578,6,7,"F",1,0,3.45,1280,"Arts & Letters",3.296
2592,3,3,"M",1,0,3.96,1260,"Business & Economics",2.77
2593,6,7,"F",0,0,4,1160,"Business & Economics",3.158
2600,4,3,"F",1,0,4.12,1340,"Arts & Letters",3.425
2608,7,7,"M",1,0,4.05,1320,"Arts & Letters",3.651
2611,6,4,"F",1,0,4.08,1270,"Math & Science",3.376
2625,7,4,"M",1,0,4.05,1480,"Business & Economics",3.807
2627,7,7,"F",1,0,3.36,1250,"Arts & Letters",3.188
2658,4,7,"F",0,0,3.88,1230,"Math & Science",2.646
2676,6,6,"F",1,0,3.86,1250,"Math & Science",3.016
2688,6,6,"F",1,0,3.78,1040,"Math & Science",3.124
2691,6,6,"F",1,0,4.36,1220,"Arts & Letters",3.465
2692,7,7,"F",0,0,3.7,1350,"Business & Economics",2.926
2698,7,6,"M",0,0,3.94,1410,"Business & Economics",3.005
2704,7,7,"F",1,0,4.05,1160,"Business & Economics",3.14
2718,3,4,"F",1,0,3.73,1340,"Math & Science",3.584
2722,6,6,"M",1,0,3.33,1170,"Arts & Letters",2.911
2733,6,6,"F",1,0,4,1170,"Business & Economics",3.247
2746,6,5,"F",0,0,3.71,1050,"Arts & Letters",3.74
2748,7,6,"F",0,0,4.08,1350,"Arts & Letters",3.82
2762,6,3,"M",1,0,3.15,1090,"Business & Economics",1.886
2766,7,6,"M",1,0,3.64,1280,"Arts & Letters",3.299
2773,6,6,"F",1,0,3.4,1460,"Arts & Letters",3.57
2787,7,7,"M",1,0,4.2,1320,"Arts & Letters",3.126
2793,1,1,"F",0,0,3.45,850,"Business & Economics",1.679
2819,7,6,"F",1,0,4.23,1180,"Math & Science",3.46
2820,4,4,"F",0,0,3.41,1210,"Math & Science",3.205
2828,7,7,"F",1,0,3.8,1320,"Arts & Letters",3.308
2830,6,4,"F",1,0,4.32,1180,"Arts & Letters",2.812
2837,3,3,"M",1,0,3.45,1390,"Math & Science",3.071
2839,7,5,"M",0,0,3.71,1150,"Business & Economics",2.948
2845,7,7,"F",1,0,4,1320,"Business & Economics",3.382
2847,7,6,"F",1,0,4.08,1060,"Math & Science",3.016
2857,6,7,"M",1,0,3.67,1250,"Business & Economics",3.227
2864,7,7,"F",1,0,3.32,1210,"Arts & Letters",2.93
2874,6,2,"M",0,0,4.32,1180,"Business & Economics",3.317
2881,5,6,"F",1,0,3.69,1170,"Arts & Letters",2.568
